Student_ID,Gender,Age,Ethnicity,Parental_Level_of_Education,Lunch,Test_Preparation_Course,Math_Score,Reading_Score,Writing_Score
2556,Female,18,Group B,Associate's Degree,Free/Reduced,None,98,46,19
2557,Male,16,Group C,Some College,Standard,None,57,70,0
2558,Male,18,Group B,Some College,Standard,None,95,38,12
2559,Male,15,Group A,Some College,Free/Reduced,Completed,27,24,30
2560,Male,16,Group C,Some High School,Free/Reduced,None,23,33,68
2561,Male,18,Group A,Some College,Standard,None,41,89,84
2562,Female,15,Group C,High School,Free/Reduced,Completed,59,41,70
2563,Male,15,Group D,Some College,Free/Reduced,None,29,50,21
2564,Male,15,Group D,High School,Free/Reduced,None,58,49,46
2565,Male,17,Group A,Master's Degree,Standard,None,46,28,30
2566,Female,17,Group A,Some College,Free/Reduced,None,42,10,22
2567,Male,17,Group B,Some College,Standard,None,25,9,4
2568,Male,16,Group D,Master's Degree,Free/Reduced,None,86,28,98
2569,Female,18,Group E,Some High School,Standard,Completed,90,69,70
2570,Male,16,Group A,Master's Degree,Standard,None,33,70,94
2571,Male,16,Group B,Master's Degree,Free/Reduced,Completed,32,47,25
2572,Female,15,Group E,Bachelor's Degree,Standard,None,77,6,87
2573,Male,15,Group E,Some College,Standard,Completed,95,26,93
2574,Male,16,Group B,Associate's Degree,Standard,None,2,37,9
2575,Female,18,Group D,Some College,Free/Reduced,Completed,17,23,96
2576,Female,17,Group A,Master's Degree,Standard,None,15,24,86
2577,Male,16,Group B,Bachelor's Degree,Standard,None,82,52,49
2578,Male,16,Group E,Associate's Degree,Standard,Completed,52,20,66
2579,Female,18,Group C,High School,Free/Reduced,Completed,54,85,15
2580,Female,18,Group B,Some College,Free/Reduced,None,50,94,92
2581,Female,16,Group A,Associate's Degree,Standard,None,62,17,99
2582,Female,15,Group A,Some High School,Free/Reduced,None,6,4,81
2583,Female,15,Group C,Associate's Degree,Standard,None,67,31,52
2584,Male,16,Group A,High School,Free/Reduced,None,7,24,28
2585,Female,15,Group A,Master's Degree,Free/Reduced,None,65,39,53
2586,Female,18,Group E,Associate's Degree,Standard,Completed,47,58,1
2587,Male,17,Group B,Some College,Free/Reduced,Completed,2,37,30
2588,Female,18,Group B,Some College,Free/Reduced,Completed,72,23,68
2589,Female,17,Group B,Some College,Free/Reduced,Completed,55,33,72
2590,Male,16,Group E,High School,Free/Reduced,None,4,52,86
2591,Male,16,Group C,Associate's Degree,Standard,None,64,26,85
2592,Female,17,Group A,Bachelor's Degree,Standard,Completed,41,83,87
2593,Female,15,Group A,High School,Standard,None,68,13,11
2594,Female,16,Group C,High School,Standard,Completed,62,2,83
2595,Male,17,Group E,Some College,Standard,Completed,36,38,89
2596,Male,15,Group A,Associate's Degree,Free/Reduced,Completed,73,29,61
2597,Male,17,Group C,Bachelor's Degree,Standard,Completed,42,84,31
2598,Male,16,Group C,Bachelor's Degree,Free/Reduced,Completed,81,57,94
2599,Male,16,Group A,Master's Degree,Standard,Completed,8,91,48
2600,Female,18,Group B,Bachelor's Degree,Free/Reduced,Completed,94,74,76
2601,Male,17,Group A,High School,Standard,None,9,53,1
2602,Male,15,Group A,Bachelor's Degree,Free/Reduced,None,72,64,59
2603,Male,16,Group E,Associate's Degree,Standard,None,11,94,95
2604,Male,18,Group D,Bachelor's Degree,Standard,Completed,71,88,65
2605,Female,18,Group B,Associate's Degree,Free/Reduced,Completed,99,86,75
2606,Male,15,Group D,Master's Degree,Free/Reduced,Completed,14,84,90
2607,Male,16,Group E,High School,Standard,Completed,68,50,39
2608,Female,18,Group A,Bachelor's Degree,Free/Reduced,Completed,20,100,82
2609,Male,15,Group A,Bachelor's Degree,Free/Reduced,None,65,69,62
2610,Male,15,Group B,Bachelor's Degree,Standard,Completed,11,3,54
2611,Male,17,Group C,Bachelor's Degree,Free/Reduced,None,73,4,61
2612,Male,17,Group D,Associate's Degree,Standard,None,59,70,23
2613,Female,16,Group A,Some High School,Free/Reduced,Completed,78,83,5
2614,Male,18,Group C,Some College,Free/Reduced,None,83,40,5
2615,Male,18,Group D,Master's Degree,Free/Reduced,Completed,24,90,2
2616,Female,17,Group C,Master's Degree,Free/Reduced,None,96,90,45
2617,Female,16,Group E,Master's Degree,Free/Reduced,None,9,18,16
2618,Female,18,Group C,Associate's Degree,Standard,Completed,98,72,10
2619,Female,15,Group E,Some High School,Free/Reduced,None,87,35,32
2620,Male,15,Group C,Associate's Degree,Standard,None,55,48,89
2621,Female,15,Group B,Bachelor's Degree,Standard,Completed,35,96,91
2622,Female,15,Group B,Master's Degree,Standard,None,59,74,12
2623,Male,17,Group B,Bachelor's Degree,Standard,Completed,57,6,99
2624,Female,16,Group C,Some College,Standard,Completed,94,19,6
2625,Female,15,Group D,Master's Degree,Standard,None,19,83,60
2626,Male,15,Group E,Master's Degree,Free/Reduced,None,83,11,1
2627,Female,18,Group C,Bachelor's Degree,Standard,Completed,42,82,58
2628,Female,17,Group D,Some High School,Free/Reduced,None,9,84,14
2629,Female,18,Group C,Master's Degree,Free/Reduced,None,23,62,55
2630,Female,18,Group B,Bachelor's Degree,Free/Reduced,Completed,82,56,30
2631,Male,18,Group A,Associate's Degree,Free/Reduced,None,73,36,34
2632,Female,15,Group E,Master's Degree,Standard,None,43,8,71
2633,Female,16,Group A,Some High School,Standard,None,58,59,46
2634,Male,17,Group A,Some High School,Free/Reduced,None,67,33,3
2635,Female,15,Group A,Bachelor's Degree,Standard,None,99,24,83
2636,Male,17,Group E,Master's Degree,Free/Reduced,None,88,4,85
2637,Female,15,Group E,High School,Standard,Completed,94,38,68
2638,Female,16,Group A,Some High School,Free/Reduced,Completed,55,26,77
2639,Female,16,Group C,Associate's Degree,Free/Reduced,Completed,2,40,41
2640,Female,17,Group C,Some College,Standard,None,51,7,13
2641,Female,18,Group C,Master's Degree,Standard,Completed,73,19,23
2642,Male,15,Group C,Some College,Standard,None,37,29,27
2643,Female,17,Group E,Master's Degree,Free/Reduced,None,0,68,58
2644,Female,18,Group C,Some College,Standard,None,79,46,0
2645,Male,16,Group E,Bachelor's Degree,Standard,None,49,6,67
2646,Female,15,Group C,Master's Degree,Free/Reduced,Completed,2,20,47
2647,Female,16,Group A,High School,Standard,None,1,20,10
2648,Female,15,Group A,Master's Degree,Free/Reduced,Completed,28,71,97
2649,Male,18,Group A,Some College,Free/Reduced,None,41,78,14
2650,Male,15,Group A,Master's Degree,Free/Reduced,Completed,54,35,99
2651,Female,18,Group A,High School,Standard,None,19,54,74
2652,Female,15,Group B,Bachelor's Degree,Free/Reduced,None,33,50,96
2653,Male,17,Group A,Associate's Degree,Standard,None,28,43,10
2654,Female,16,Group D,Some High School,Standard,None,74,23,79
2655,Male,15,Group D,Some College,Free/Reduced,None,86,57,33
2656,Male,15,Group B,Some High School,Free/Reduced,None,98,96,82
2657,Female,16,Group C,Master's Degree,Standard,Completed,41,43,38
2658,Male,15,Group C,Associate's Degree,Free/Reduced,Completed,68,93,46
2659,Female,16,Group C,Bachelor's Degree,Standard,Completed,58,96,33
2660,Male,18,Group C,Bachelor's Degree,Standard,Completed,83,97,46
2661,Male,17,Group D,Associate's Degree,Standard,None,85,20,53
2662,Male,17,Group B,Master's Degree,Standard,Completed,25,25,77
2663,Male,16,Group C,Associate's Degree,Standard,Completed,98,25,60
2664,Male,17,Group B,Bachelor's Degree,Free/Reduced,Completed,73,17,18
2665,Male,16,Group E,Some College,Standard,Completed,45,66,78
2666,Male,17,Group B,Some High School,Standard,Completed,91,19,50
2667,Female,15,Group B,Some College,Free/Reduced,Completed,73,79,44
2668,Female,15,Group C,Bachelor's Degree,Free/Reduced,Completed,19,29,43
2669,Female,17,Group E,High School,Standard,Completed,24,1,49
2670,Male,18,Group D,Some High School,Standard,None,98,17,14
2671,Male,17,Group C,Associate's Degree,Standard,Completed,18,2,76
2672,Male,15,Group E,Bachelor's Degree,Standard,Completed,26,17,23
2673,Male,17,Group E,Master's Degree,Free/Reduced,Completed,39,42,58
2674,Female,15,Group D,Master's Degree,Standard,Completed,23,51,54
2675,Female,18,Group D,Associate's Degree,Free/Reduced,None,12,73,63
2676,Female,18,Group E,Master's Degree,Free/Reduced,None,3,13,10
2677,Male,17,Group B,Some College,Standard,Completed,68,27,30
2678,Female,15,Group E,Some College,Standard,Completed,77,26,56
2679,Male,18,Group D,High School,Free/Reduced,Completed,5,1,57
2680,Male,16,Group A,Bachelor's Degree,Standard,Completed,99,29,93
2681,Female,17,Group E,Some High School,Standard,None,16,2,87
2682,Female,16,Group D,Master's Degree,Standard,None,69,28,14
2683,Female,17,Group A,Associate's Degree,Free/Reduced,None,44,25,88
2684,Male,15,Group A,High School,Free/Reduced,Completed,8,32,96
2685,Male,15,Group E,Associate's Degree,Standard,Completed,41,52,86
2686,Female,16,Group A,Some College,Standard,None,40,59,64
2687,Female,15,Group A,Master's Degree,Free/Reduced,Completed,29,56,64
2688,Female,15,Group D,Master's Degree,Free/Reduced,None,84,8,53
2689,Male,15,Group B,High School,Free/Reduced,None,26,93,96
2690,Male,16,Group C,Some College,Standard,None,25,88,18
2691,Female,15,Group C,Some High School,Standard,Completed,38,15,54
2692,Female,18,Group B,Master's Degree,Standard,None,20,85,30
2693,Male,17,Group D,Some College,Free/Reduced,Completed,54,54,74
2694,Male,18,Group B,Some High School,Free/Reduced,Completed,34,100,45
2695,Male,16,Group C,Bachelor's Degree,Free/Reduced,Completed,29,58,51
2696,Female,16,Group C,Bachelor's Degree,Free/Reduced,None,27,46,13
2697,Male,15,Group D,Bachelor's Degree,Standard,Completed,98,1,17
2698,Male,18,Group B,Master's Degree,Standard,None,45,56,94
2699,Male,16,Group B,Associate's Degree,Standard,None,3,54,51
2700,Female,17,Group D,Some High School,Standard,None,17,18,97
2701,Female,16,Group D,Bachelor's Degree,Free/Reduced,None,56,99,48
2702,Female,18,Group C,Associate's Degree,Free/Reduced,None,15,61,99
2703,Female,17,Group A,Associate's Degree,Standard,None,48,78,56
2704,Female,17,Group C,Associate's Degree,Standard,None,3,78,69
2705,Male,15,Group A,Associate's Degree,Standard,None,56,44,28
2706,Female,17,Group D,High School,Standard,Completed,95,96,3
2707,Male,15,Group D,Some High School,Standard,Completed,94,40,47
2708,Male,15,Group A,High School,Free/Reduced,None,26,31,46
2709,Male,16,Group E,High School,Standard,None,48,95,63
2710,Female,16,Group A,Master's Degree,Standard,None,6,7,26
2711,Female,15,Group C,Associate's Degree,Free/Reduced,None,57,22,58
2712,Female,18,Group D,Bachelor's Degree,Free/Reduced,None,56,35,12
2713,Male,15,Group C,Master's Degree,Free/Reduced,Completed,51,82,25
2714,Female,18,Group B,High School,Free/Reduced,Completed,25,47,69
2715,Male,17,Group B,Some College,Free/Reduced,None,26,26,67
2716,Male,17,Group D,High School,Standard,None,98,7,61
2717,Female,17,Group D,Some High School,Standard,Completed,48,10,95
2718,Female,15,Group D,Bachelor's Degree,Standard,Completed,75,22,36
2719,Male,18,Group B,Some College,Standard,Completed,15,29,5
2720,Female,15,Group C,Master's Degree,Free/Reduced,Completed,11,94,21
2721,Male,17,Group C,Some College,Free/Reduced,None,22,74,93
2722,Female,16,Group D,Some College,Standard,Completed,64,71,17
2723,Male,17,Group C,Master's Degree,Free/Reduced,None,74,98,27
2724,Female,17,Group A,Bachelor's Degree,Standard,None,92,33,87
2725,Male,16,Group B,Some College,Free/Reduced,Completed,66,62,83
2726,Male,18,Group A,Associate's Degree,Free/Reduced,None,15,21,91
2727,Male,17,Group E,Master's Degree,Standard,Completed,20,30,97
2728,Female,18,Group E,Bachelor's Degree,Free/Reduced,Completed,96,3,36
2729,Female,16,Group A,Bachelor's Degree,Standard,None,26,27,85
2730,Female,16,Group E,Associate's Degree,Free/Reduced,Completed,15,34,48
2731,Female,16,Group D,Some College,Standard,None,62,91,8
2732,Male,15,Group D,Master's Degree,Standard,None,94,16,38
2733,Male,18,Group A,High School,Free/Reduced,Completed,77,5,38
2734,Female,15,Group C,Some College,Free/Reduced,Completed,45,16,100
2735,Male,16,Group B,Master's Degree,Free/Reduced,None,95,69,50
2736,Female,17,Group A,Associate's Degree,Free/Reduced,None,40,37,48
2737,Female,15,Group B,Master's Degree,Standard,Completed,53,58,22
2738,Male,17,Group A,Master's Degree,Standard,Completed,24,8,63
2739,Male,15,Group A,Some High School,Standard,None,26,74,54
2740,Male,18,Group E,Some High School,Standard,Completed,11,94,26
2741,Male,17,Group B,Associate's Degree,Standard,Completed,64,98,93
2742,Female,15,Group E,Associate's Degree,Free/Reduced,Completed,46,2,27
2743,Female,16,Group B,Some High School,Standard,Completed,61,11,0
2744,Female,16,Group B,Master's Degree,Standard,Completed,32,58,37
2745,Male,18,Group A,Bachelor's Degree,Free/Reduced,Completed,65,91,87
2746,Male,18,Group C,Associate's Degree,Free/Reduced,None,14,20,14
2747,Male,15,Group C,High School,Standard,None,58,20,9
2748,Female,16,Group D,Associate's Degree,Standard,None,2,84,58
2749,Female,17,Group C,High School,Free/Reduced,Completed,0,16,53
2750,Male,15,Group A,High School,Free/Reduced,Completed,48,37,99
2751,Female,15,Group A,High School,Standard,None,53,6,12
2752,Male,16,Group E,Associate's Degree,Standard,None,51,47,87
2753,Male,18,Group A,Some High School,Standard,None,12,7,38
2754,Male,17,Group E,Master's Degree,Standard,None,45,56,22
2755,Female,18,Group C,Master's Degree,Free/Reduced,Completed,46,92,80
2756,Female,15,Group A,Some High School,Standard,None,39,52,85
2757,Male,15,Group C,Bachelor's Degree,Standard,None,8,33,13
2758,Male,16,Group E,High School,Free/Reduced,Completed,55,84,47
2759,Male,18,Group B,High School,Free/Reduced,Completed,83,69,23
2760,Female,15,Group E,Some High School,Free/Reduced,None,38,59,37
2761,Male,15,Group D,Bachelor's Degree,Standard,None,29,93,65
2762,Male,18,Group E,Some High School,Free/Reduced,Completed,89,99,29
2763,Female,16,Group A,Associate's Degree,Free/Reduced,Completed,10,13,14
2764,Male,16,Group D,Associate's Degree,Free/Reduced,None,83,60,76
2765,Female,17,Group A,Some College,Standard,Completed,82,82,50
2766,Female,17,Group D,Master's Degree,Standard,None,49,81,68
2767,Male,17,Group E,Master's Degree,Free/Reduced,None,60,88,94
2768,Male,18,Group C,Bachelor's Degree,Standard,Completed,2,63,53
2769,Male,17,Group D,Some College,Standard,None,35,41,26
2770,Female,17,Group B,Some High School,Free/Reduced,Completed,93,33,53
2771,Female,18,Group E,Associate's Degree,Free/Reduced,None,82,52,33
2772,Female,17,Group C,Bachelor's Degree,Standard,None,41,13,61
2773,Female,16,Group A,Bachelor's Degree,Free/Reduced,None,5,79,3
2774,Female,15,Group E,Some High School,Free/Reduced,None,18,100,32
2775,Female,16,Group C,Master's Degree,Standard,Completed,31,76,49
2776,Male,16,Group B,Master's Degree,Free/Reduced,Completed,22,23,40
2777,Male,15,Group E,Associate's Degree,Free/Reduced,None,72,33,48
2778,Male,16,Group E,Some College,Free/Reduced,Completed,1,6,68
2779,Male,15,Group C,Associate's Degree,Free/Reduced,Completed,16,49,72
2780,Female,16,Group B,Some High School,Standard,None,66,46,49
2781,Female,18,Group B,Master's Degree,Free/Reduced,Completed,19,81,75
2782,Male,18,Group C,Some College,Standard,Completed,17,69,65
2783,Female,17,Group C,Associate's Degree,Free/Reduced,None,88,29,61
2784,Male,18,Group A,Some College,Standard,None,60,68,2
2785,Male,15,Group B,Associate's Degree,Free/Reduced,Completed,97,56,27
2786,Male,17,Group E,Associate's Degree,Standard,Completed,4,19,48
2787,Male,16,Group C,Bachelor's Degree,Standard,Completed,7,100,70
2788,Female,18,Group E,Some High School,Free/Reduced,None,76,86,71
2789,Male,17,Group B,Some High School,Free/Reduced,Completed,26,60,99
2790,Female,18,Group E,Master's Degree,Standard,None,94,80,29
2791,Male,17,Group C,High School,Standard,Completed,84,18,0
2792,Female,15,Group B,High School,Standard,Completed,37,43,3
2793,Male,15,Group A,Some College,Standard,Completed,47,64,35
2794,Female,16,Group D,Master's Degree,Free/Reduced,None,79,8,69
2795,Female,17,Group B,Some College,Free/Reduced,None,53,23,28
2796,Female,15,Group D,High School,Free/Reduced,None,20,19,62
2797,Male,16,Group A,High School,Standard,Completed,53,40,87
2798,Female,17,Group B,Some High School,Standard,None,22,76,77
2799,Female,16,Group A,Some High School,Free/Reduced,None,22,5,82
2800,Female,15,Group D,Some College,Free/Reduced,Completed,66,74,29
2801,Female,16,Group D,Some College,Standard,None,19,100,51
2802,Male,17,Group D,Associate's Degree,Standard,None,94,88,93
2803,Female,18,Group D,Some College,Free/Reduced,None,85,43,29
2804,Female,15,Group A,Master's Degree,Free/Reduced,None,23,49,88
2805,Female,17,Group D,Some College,Free/Reduced,None,46,50,10
2806,Female,17,Group A,Some High School,Standard,None,14,97,97
2807,Female,16,Group D,Master's Degree,Free/Reduced,Completed,100,68,44
2808,Male,15,Group D,Some College,Standard,Completed,20,36,73
2809,Female,18,Group D,Some High School,Standard,Completed,3,91,23
2810,Female,18,Group D,Some High School,Standard,Completed,63,32,95
2811,Female,16,Group D,Some High School,Standard,Completed,26,64,18
2812,Female,15,Group E,Some High School,Standard,Completed,39,92,99
2813,Male,18,Group A,Some High School,Free/Reduced,None,51,94,90
2814,Female,15,Group E,Bachelor's Degree,Free/Reduced,Completed,80,18,76
2815,Male,16,Group D,Bachelor's Degree,Free/Reduced,Completed,47,31,14
2816,Male,15,Group A,Associate's Degree,Free/Reduced,Completed,33,62,84
2817,Female,15,Group D,Some High School,Free/Reduced,Completed,79,31,82
2818,Female,15,Group D,Some High School,Free/Reduced,Completed,41,80,21
2819,Male,16,Group B,Master's Degree,Standard,Completed,3,24,61
2820,Female,16,Group C,Master's Degree,Standard,None,100,57,7
2821,Male,16,Group A,Bachelor's Degree,Standard,None,3,73,49
2822,Male,18,Group A,High School,Free/Reduced,Completed,42,98,42
2823,Female,17,Group D,Some College,Standard,None,3,9,76
2824,Female,15,Group E,Master's Degree,Free/Reduced,Completed,60,23,28
2825,Male,17,Group B,Master's Degree,Standard,None,4,12,35
2826,Male,15,Group D,Some College,Standard,Completed,94,16,8
2827,Female,15,Group E,Associate's Degree,Standard,Completed,18,10,5
2828,Male,15,Group D,High School,Standard,Completed,52,11,33
2829,Female,16,Group C,Some College,Free/Reduced,Completed,5,6,6
2830,Male,18,Group A,Some College,Standard,None,69,15,48
2831,Female,16,Group A,Some High School,Standard,None,48,67,95
2832,Female,15,Group C,Bachelor's Degree,Free/Reduced,Completed,97,58,87
2833,Male,17,Group D,Master's Degree,Free/Reduced,None,76,65,18
2834,Female,15,Group C,Associate's Degree,Free/Reduced,None,92,5,74
2835,Male,15,Group A,Bachelor's Degree,Standard,Completed,67,30,12
2836,Female,18,Group E,Bachelor's Degree,Standard,Completed,21,89,10
2837,Male,15,Group C,Bachelor's Degree,Free/Reduced,None,20,44,69
2838,Female,16,Group E,High School,Free/Reduced,Completed,12,88,57
2839,Female,18,Group A,Associate's Degree,Standard,None,1,70,21
2840,Male,18,Group A,High School,Standard,None,44,53,16
2841,Female,18,Group C,Some High School,Standard,Completed,28,95,65
2842,Male,15,Group A,Associate's Degree,Free/Reduced,Completed,11,78,20
2843,Female,18,Group C,Master's Degree,Standard,None,53,6,35
2844,Female,18,Group B,Some College,Free/Reduced,None,8,85,61
2845,Female,16,Group D,Some College,Free/Reduced,Completed,14,9,15
2846,Male,17,Group B,Master's Degree,Free/Reduced,None,60,58,66
2847,Female,16,Group B,Bachelor's Degree,Free/Reduced,None,59,6,24
2848,Male,16,Group C,Associate's Degree,Standard,None,53,62,2
2849,Female,17,Group A,Some College,Free/Reduced,None,68,37,11
2850,Male,17,Group D,Associate's Degree,Free/Reduced,None,56,88,68
2851,Female,18,Group E,Bachelor's Degree,Free/Reduced,None,17,4,14
2852,Female,16,Group E,Associate's Degree,Standard,Completed,77,80,57
2853,Male,15,Group C,High School,Standard,None,81,28,89
2854,Male,16,Group A,Master's Degree,Free/Reduced,Completed,0,76,74
2855,Female,17,Group C,Master's Degree,Free/Reduced,None,39,19,98
2856,Female,18,Group C,Some High School,Free/Reduced,Completed,60,45,51
2857,Female,18,Group D,Master's Degree,Free/Reduced,Completed,60,13,83
2858,Male,18,Group B,High School,Standard,Completed,32,75,6
2859,Female,15,Group C,Associate's Degree,Free/Reduced,Completed,16,79,61
2860,Female,15,Group D,Some College,Standard,None,41,79,42
2861,Male,17,Group E,Associate's Degree,Free/Reduced,None,84,32,86
2862,Male,18,Group A,Some High School,Standard,None,69,88,57
2863,Male,16,Group A,Bachelor's Degree,Free/Reduced,None,46,45,67
2864,Female,18,Group A,Some College,Standard,Completed,78,22,78
2865,Female,16,Group B,Some College,Standard,Completed,85,76,93
2866,Male,16,Group D,Some High School,Free/Reduced,None,91,40,93
2867,Male,15,Group A,Some College,Free/Reduced,Completed,12,94,66
2868,Male,18,Group B,Bachelor's Degree,Free/Reduced,Completed,61,97,83
2869,Male,17,Group C,Some High School,Standard,Completed,63,14,32
2870,Male,18,Group C,Some College,Standard,Completed,95,63,73
2871,Female,18,Group D,Associate's Degree,Standard,Completed,73,13,61
2872,Female,17,Group A,Master's Degree,Free/Reduced,None,25,22,36
2873,Female,17,Group E,Some College,Standard,Completed,16,22,74
2874,Female,18,Group D,Bachelor's Degree,Free/Reduced,Completed,28,18,78
2875,Female,17,Group A,Bachelor's Degree,Standard,Completed,65,63,57
2876,Female,16,Group D,High School,Free/Reduced,None,16,49,79
2877,Male,15,Group B,Some High School,Standard,None,18,95,76
2878,Male,17,Group C,Bachelor's Degree,Free/Reduced,None,28,32,7
2879,Male,16,Group A,Bachelor's Degree,Standard,Completed,84,31,40
2880,Female,15,Group B,Some College,Standard,None,10,28,20
2881,Male,17,Group B,Master's Degree,Free/Reduced,Completed,95,71,17
2882,Female,15,Group A,Master's Degree,Standard,None,12,58,13
2883,Male,18,Group E,Some High School,Free/Reduced,None,91,23,62
2884,Male,17,Group A,Some High School,Standard,Completed,51,20,15
2885,Male,16,Group A,Master's Degree,Standard,None,36,2,14
2886,Male,16,Group B,High School,Free/Reduced,Completed,78,46,35
2887,Female,15,Group A,Master's Degree,Standard,Completed,13,37,69
2888,Female,16,Group B,Some College,Free/Reduced,Completed,31,19,52
2889,Male,16,Group D,Bachelor's Degree,Standard,Completed,28,18,42
2890,Female,17,Group E,Some College,Standard,None,32,14,53
2891,Male,15,Group E,Master's Degree,Standard,Completed,23,48,45
2892,Female,16,Group A,Bachelor's Degree,Free/Reduced,Completed,93,22,66
2893,Male,18,Group D,High School,Standard,Completed,84,48,94
2894,Female,17,Group C,Bachelor's Degree,Free/Reduced,Completed,38,86,12
2895,Male,16,Group A,High School,Standard,None,42,41,70
2896,Male,16,Group D,Bachelor's Degree,Free/Reduced,None,90,87,79
2897,Female,16,Group C,Some College,Standard,Completed,59,33,68
2898,Female,17,Group C,High School,Free/Reduced,None,85,75,84
2899,Female,17,Group C,Master's Degree,Standard,Completed,75,82,13
2900,Male,15,Group E,Some College,Standard,Completed,66,48,1
2901,Female,17,Group A,Some College,Standard,None,66,24,55
2902,Female,16,Group C,High School,Standard,None,73,24,9
2903,Female,16,Group D,Some High School,Free/Reduced,None,34,94,63
2904,Female,18,Group D,Associate's Degree,Standard,Completed,97,94,27
2905,Male,17,Group A,Master's Degree,Free/Reduced,None,16,0,80
2906,Male,16,Group A,Master's Degree,Free/Reduced,None,41,88,87
2907,Female,18,Group B,Master's Degree,Free/Reduced,None,54,69,90
2908,Female,15,Group C,Some High School,Standard,None,47,25,40
2909,Male,15,Group B,Associate's Degree,Free/Reduced,None,84,25,52
2910,Female,15,Group D,Some College,Free/Reduced,Completed,18,37,31
2911,Female,16,Group E,Bachelor's Degree,Standard,None,74,37,12
2912,Female,16,Group E,High School,Free/Reduced,Completed,94,38,52
2913,Male,15,Group C,Master's Degree,Free/Reduced,None,4,56,25
2914,Female,18,Group C,Bachelor's Degree,Standard,None,95,2,12
2915,Male,15,Group E,High School,Free/Reduced,Completed,49,39,21
2916,Female,17,Group C,Master's Degree,Free/Reduced,None,80,64,76
2917,Male,16,Group C,High School,Free/Reduced,Completed,6,66,59
2918,Male,16,Group A,Associate's Degree,Free/Reduced,Completed,25,63,46
2919,Female,17,Group E,High School,Free/Reduced,None,23,65,45
2920,Female,16,Group C,Master's Degree,Standard,Completed,1,76,57
2921,Male,17,Group A,Some College,Free/Reduced,None,18,74,22
2922,Female,15,Group C,Associate's Degree,Free/Reduced,Completed,81,42,95
2923,Male,15,Group D,Some College,Free/Reduced,Completed,4,1,96
2924,Female,16,Group C,Associate's Degree,Standard,None,30,34,53
2925,Female,16,Group D,Associate's Degree,Standard,None,20,59,13
2926,Male,15,Group C,Master's Degree,Free/Reduced,None,50,2,53
2927,Male,17,Group A,Some High School,Standard,None,41,21,76
2928,Female,15,Group C,Associate's Degree,Free/Reduced,None,1,1,39
2929,Female,17,Group D,Some High School,Free/Reduced,Completed,73,47,77
2930,Female,18,Group C,High School,Free/Reduced,Completed,61,78,52
2931,Female,15,Group C,High School,Standard,Completed,61,87,27
2932,Male,17,Group C,Some College,Free/Reduced,Completed,44,48,62
2933,Female,17,Group C,Master's Degree,Free/Reduced,None,24,98,71
2934,Female,17,Group A,Master's Degree,Free/Reduced,Completed,80,64,64
2935,Female,16,Group C,Associate's Degree,Free/Reduced,None,73,87,9
2936,Female,16,Group B,Associate's Degree,Free/Reduced,None,51,44,11
2937,Male,18,Group B,Some High School,Standard,Completed,57,9,73
2938,Male,18,Group C,Master's Degree,Free/Reduced,Completed,27,78,27
2939,Male,17,Group B,High School,Free/Reduced,Completed,58,98,67
2940,Female,16,Group A,Some High School,Free/Reduced,Completed,79,40,88
2941,Female,17,Group B,Bachelor's Degree,Standard,Completed,33,24,90
2942,Male,16,Group C,Some College,Standard,Completed,69,100,75
2943,Male,16,Group B,Master's Degree,Standard,None,56,87,82
2944,Female,18,Group E,Master's Degree,Standard,Completed,15,57,74
2945,Male,17,Group B,Associate's Degree,Free/Reduced,Completed,95,63,74
2946,Male,17,Group C,Bachelor's Degree,Standard,Completed,35,32,6
2947,Male,16,Group C,Bachelor's Degree,Standard,Completed,83,79,50
2948,Female,16,Group C,Bachelor's Degree,Standard,None,98,89,67
2949,Male,15,Group E,High School,Standard,None,65,23,21
2950,Female,18,Group E,Master's Degree,Standard,Completed,43,50,89
2951,Male,15,Group D,Some College,Standard,Completed,43,54,6
2952,Female,16,Group A,Some High School,Free/Reduced,None,23,81,14
2953,Female,17,Group E,Associate's Degree,Standard,Completed,32,84,97
2954,Male,16,Group A,Associate's Degree,Free/Reduced,Completed,43,26,26
2955,Female,15,Group E,Bachelor's Degree,Standard,None,62,20,82
2956,Female,18,Group A,Some High School,Free/Reduced,Completed,98,76,1
2957,Male,16,Group B,Some College,Standard,None,70,94,63
2958,Female,17,Group C,Associate's Degree,Standard,Completed,58,40,9
2959,Male,15,Group A,Some College,Standard,Completed,84,53,54
2960,Female,16,Group B,Some High School,Standard,Completed,12,29,63
2961,Male,17,Group A,Some College,Standard,None,85,34,44
2962,Female,17,Group C,Bachelor's Degree,Standard,Completed,43,23,24
2963,Female,16,Group D,Some College,Free/Reduced,Completed,97,57,87
2964,Male,15,Group E,Bachelor's Degree,Standard,Completed,66,63,89
2965,Male,17,Group A,Associate's Degree,Free/Reduced,None,33,60,21
2966,Female,18,Group B,Some High School,Standard,None,8,40,14
2967,Male,15,Group E,Master's Degree,Free/Reduced,Completed,100,21,49
2968,Female,17,Group E,Associate's Degree,Standard,Completed,46,20,28
2969,Male,16,Group D,Some College,Standard,None,54,45,88
2970,Female,16,Group D,Some High School,Free/Reduced,None,82,72,24
2971,Female,15,Group B,Some College,Standard,Completed,3,19,53
2972,Male,17,Group B,Some College,Standard,Completed,69,2,15
2973,Female,17,Group C,Master's Degree,Free/Reduced,Completed,16,53,30
